Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
"Miami/Ft. Lauderdale",Weekly,"2017-01-02 00:00:00",Conventional,0.980000000,787406.10,309692.08,199635.67,540.23,277538.12,84253.42,193284.70,0.00
Midsouth,Weekly,"2017-01-02 00:00:00",Conventional,1.120000000,2878967.54,653896.00,1285364.27,64703.08,875004.19,719379.64,151226.51,4398.04
Nashville,Weekly,"2017-01-02 00:00:00",Conventional,0.730000000,249074.81,112089.34,27327.66,71.34,109586.47,87099.25,20952.22,1535.00
"New Orleans/Mobile",Weekly,"2017-01-02 00:00:00",Conventional,0.810000000,318672.94,175385.65,42839.67,242.00,100205.62,68817.75,24039.54,7348.33
"New York",Weekly,"2017-01-02 00:00:00",Conventional,1.440000000,940983.17,10498.68,668183.16,22804.60,239496.73,208504.55,30684.59,307.59
Northeast,Weekly,"2017-01-02 00:00:00",Conventional,1.350000000,3513388.32,174842.62,2589315.66,39606.96,709623.08,659611.76,49532.71,478.61
"Northern New England",Weekly,"2017-01-02 00:00:00",Conventional,1.110000000,476239.03,20667.36,414792.25,3313.10,37466.32,37466.32,0.00,0.00
Orlando,Weekly,"2017-01-02 00:00:00",Conventional,0.950000000,447083.97,166581.90,110283.97,151.92,170066.18,61681.31,108384.87,0.00
Philadelphia,Weekly,"2017-01-02 00:00:00",Conventional,1.400000000,321941.32,12767.25,217447.76,3090.37,88635.94,83428.92,5163.19,43.83
Phoenix/Tucson,Weekly,"2017-01-02 00:00:00",Conventional,0.630000000,1169638.17,560445.04,325471.67,15079.65,268641.81,117177.54,151421.21,43.06
Pittsburgh,Weekly,"2017-01-02 00:00:00",Conventional,1.020000000,141043.91,58724.08,42203.79,2553.37,37562.67,28298.47,9264.20,0.00
Plains,Weekly,"2017-01-02 00:00:00",Conventional,0.830000000,2382742.62,1462454.22,509659.58,4780.52,405848.30,387097.97,13008.21,5742.12
